City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2021-07-22 13:53:50,51.3813,1.3862,79.88,70,0,1.99
1,Cabo San Lucas,MX,2021-07-22 14:00:25,22.8909,-109.9124,83.52,66,1,5.66
2,Punta Arenas,CL,2021-07-22 14:00:26,-53.15,-70.9167,35.11,93,100,6.69
3,Saint-Philippe,RE,2021-07-22 14:00:26,-21.3585,55.7679,72.99,74,50,12.95
4,Lebu,CL,2021-07-22 14:00:26,-37.6167,-73.65,50.09,83,99,3.53
5,Mataura,NZ,2021-07-22 14:00:26,-46.1927,168.8643,40.48,97,10,2.26
6,Atuona,PF,2021-07-22 14:00:26,-9.8,-139.0333,76.77,77,100,12.57
7,Pangody,RU,2021-07-22 13:56:03,65.85,74.4859,64.58,54,30,13.4
8,Oga,IT,2021-07-22 14:00:27,46.4631,10.347,72.14,62,27,2.8
9,Chokurdakh,RU,2021-07-22 14:00:27,70.6333,147.9167,38.59,84,58,8.39
10,Leningradskiy,RU,2021-07-22 14:00:27,69.3833,178.4167,34.86,84,48,2.53
11,Ushuaia,AR,2021-07-22 14:00:20,-54.8,-68.3,37.35,97,100,6.69
12,Avarua,CK,2021-07-22 14:00:28,-21.2078,-159.775,69.85,100,18,3.44
13,Hamilton,US,2021-07-22 14:00:28,39.1834,-84.5333,73.99,71,9,1.01
14,Ixtapa,MX,2021-07-22 14:00:28,20.7,-105.2,83.23,84,25,1.99
15,Mosalsk,RU,2021-07-22 14:00:28,54.4881,34.9817,69.49,44,22,10.33
16,Carnarvon,AU,2021-07-22 14:00:28,-24.8667,113.6333,65.82,64,0,11.21
17,Port Alfred,ZA,2021-07-22 14:00:29,-33.5906,26.891,50.72,76,100,25.05
18,Lagoa,PT,2021-07-22 14:00:29,39.05,-27.9833,67.21,75,57,12.68
19,Skjervoy,NO,2021-07-22 14:00:29,70.0311,20.9714,46.58,88,100,15.14
20,Samarai,PG,2021-07-22 14:00:29,-10.6167,150.6667,77.7,75,100,11.61
21,Hobart,AU,2021-07-22 14:00:29,-42.8794,147.3294,52.27,57,0,4.0
22,Norman Wells,CA,2021-07-22 14:00:30,65.282,-126.8329,63.61,79,4,7.23
23,Beringovskiy,RU,2021-07-22 14:00:30,63.05,179.3167,47.1,87,47,5.55
24,Port Hardy,CA,2021-07-22 14:00:30,50.6996,-127.4199,54.77,91,100,3.49
25,Dauphin,CA,2021-07-22 14:00:31,51.1494,-100.0502,68.14,75,90,5.75
26,Busselton,AU,2021-07-22 14:00:31,-33.65,115.3333,55.09,71,100,14.63
27,Thompson,CA,2021-07-22 14:00:32,55.7435,-97.8558,70.39,64,6,7.16
28,Kaitangata,NZ,2021-07-22 14:00:32,-46.2817,169.8464,41.94,79,4,6.42
29,Sumbawanga,TZ,2021-07-22 14:00:32,-7.9667,31.6167,74.39,29,40,7.61
30,Champawat,IN,2021-07-22 14:00:33,29.3333,80.1,64.58,92,61,4.07
31,Stornoway,GB,2021-07-22 13:55:59,58.2093,-6.3865,63.93,82,20,10.36
32,Rikitea,PF,2021-07-22 13:48:19,-23.1203,-134.9692,72.03,71,13,11.05
33,Amapa,BR,2021-07-22 14:00:33,1.0,-52.0,85.12,61,26,4.88
34,Cherskiy,RU,2021-07-22 14:00:34,68.75,161.3,57.52,58,100,4.99
35,New Norfolk,AU,2021-07-22 14:00:34,-42.7826,147.0587,51.93,59,100,1.99
36,Funtua,NG,2021-07-22 14:00:34,11.5233,7.3081,81.18,61,100,9.51
37,Nantucket,US,2021-07-22 14:00:35,41.2835,-70.0995,72.25,85,2,18.52
38,Auki,SB,2021-07-22 14:00:35,-8.7676,160.7034,76.93,88,100,4.56
39,Mahebourg,MU,2021-07-22 14:00:35,-20.4081,57.7,72.25,70,44,18.41
40,Constitucion,CL,2021-07-22 14:00:15,-35.3333,-72.4167,55.38,81,100,4.52
41,Lerwick,GB,2021-07-22 14:00:36,60.1545,-1.1494,55.4,76,38,7.56
42,Jamestown,US,2021-07-22 14:00:36,42.097,-79.2353,69.3,86,89,1.99
43,Ende,ID,2021-07-22 14:00:36,-8.8432,121.6623,74.17,83,4,2.33
44,Assiniboia,CA,2021-07-22 14:00:36,49.6334,-105.9845,75.61,57,53,4.88
45,Georgetown,MY,2021-07-22 14:00:36,5.4112,100.3354,87.89,62,20,5.75
46,Puerto Del Rosario,ES,2021-07-22 14:00:37,28.5004,-13.8627,82.15,51,20,23.02
47,Kavaratti,IN,2021-07-22 14:00:37,10.5669,72.642,82.67,81,100,22.95
48,Talnakh,RU,2021-07-22 14:00:37,69.4865,88.3972,59.83,94,100,19.3
