City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
59,Yulara,AU,2021-07-24 22:26:16,-25.2406,130.9889,39.04,70,33,5.75,scattered clouds
60,Punta Arenas,CL,2021-07-24 22:25:59,-53.15,-70.9167,37.51,81,75,16.11,broken clouds
61,Guilin,CN,2021-07-24 22:26:16,25.2819,110.2864,75.31,89,18,4.05,few clouds
62,Chumikan,RU,2021-07-24 22:26:16,54.7183,135.315,55.85,99,100,1.79,overcast clouds
63,San Patricio,US,2021-07-24 22:26:17,28.017,-97.5169,96.78,38,0,15.66,clear sky
64,Butaritari,KI,2021-07-24 22:26:17,3.0707,172.7902,83.57,74,86,14.63,overcast clouds
65,Aswan,EG,2021-07-24 22:24:08,24.0934,32.907,89.51,25,0,11.59,clear sky
66,Lompoc,US,2021-07-24 22:26:18,34.6391,-120.4579,89.69,68,20,11.5,few clouds
67,Broken Hill,AU,2021-07-24 22:26:18,-31.95,141.4333,42.51,87,52,13.8,broken clouds
68,Kavieng,PG,2021-07-24 22:26:18,-2.5744,150.7967,82.83,75,17,9.28,few clouds
69,Takoradi,GH,2021-07-24 22:26:18,4.8845,-1.7554,74.48,82,5,7.4,clear sky
70,Jega,NG,2021-07-24 22:26:18,12.2175,4.3792,79.9,70,75,7.16,broken clouds
71,Butembo,CD,2021-07-24 22:26:18,0.15,29.2833,58.82,83,92,2.42,overcast clouds
72,Opole Lubelskie,PL,2021-07-24 22:26:19,51.1478,21.969,68.25,73,59,8.46,broken clouds
73,Mamburao,PH,2021-07-24 22:26:19,13.25,120.6667,78.26,92,100,12.97,overcast clouds
74,Clyde River,CA,2021-07-24 22:26:19,70.4692,-68.5914,34.03,100,90,18.41,light rain
75,Maxixe,MZ,2021-07-24 22:26:19,-23.8597,35.3472,63.45,65,88,9.71,light rain
76,Pouebo,NC,2021-07-24 22:26:19,-20.4,164.5667,75.4,64,9,2.42,clear sky
77,Qasigiannguit,GL,2021-07-24 22:26:20,68.8193,-51.1922,44.85,91,97,8.59,overcast clouds
78,Mahebourg,MU,2021-07-24 22:26:20,-20.4081,57.7,70.09,83,40,11.5,light rain
79,Atuona,PF,2021-07-24 22:26:20,-9.8,-139.0333,78.84,69,37,16.82,scattered clouds
80,Esperance,AU,2021-07-24 22:23:46,-33.8667,121.9,51.69,80,5,17.78,clear sky
81,Saint George,US,2021-07-24 22:26:20,37.1041,-113.5841,90.19,49,20,11.01,few clouds
82,Shu,KZ,2021-07-24 22:26:21,43.5983,73.7614,77.23,32,0,3.62,clear sky
83,Tasiilaq,GL,2021-07-24 22:26:21,65.6145,-37.6368,42.96,98,100,5.17,light rain
84,Rio Gallegos,AR,2021-07-24 22:25:06,-51.6226,-69.2181,39.25,70,0,1.14,clear sky
85,Hobart,AU,2021-07-24 22:24:21,-42.8794,147.3294,44.26,72,40,5.01,scattered clouds
