City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
294,Salamiyah,SY,74.97,35.0113,37.0532,few clouds,Gondolas Forum grandchildren and grandparents
295,Sampit,ID,71.47,-2.5333,112.95,clear sky,Aquarius Boutique Hotel Sampit
298,Sur,OM,89.24,22.5667,59.5289,broken clouds,Sur Plaza Hotel
300,Dali,CN,61.74,25.7,100.1833,light rain,Dali Travelling With Hostel
301,Bonthe,SL,76.06,7.5264,-12.505,light rain,Bonthe Holiday Village
302,Alberton,CA,71.73,46.8168,-64.0654,few clouds,La Petite France B&B
303,Van,TR,67.35,38.4924,43.3831,clear sky,Elite World Van Hotel
304,Touros,BR,77.9,-5.1989,-35.4608,few clouds,INN NEW HORIZON
305,Sola,VU,79.47,-13.8833,167.55,broken clouds,Leumerus Bungalows
306,Cuiluan,CN,70.43,47.72,128.648,overcast clouds,Shuncheng Hotel
307,Jumla,NP,61.43,29.2747,82.1838,moderate rain,"अन्नी घर, जुम्ला - Anni Ghar"
308,Jacqueville,CI,76.91,5.2052,-4.4146,broken clouds,Hotel Le Martin Pecheur
309,Payo,ID,71.73,-3.7508,103.6372,clear sky,Mess keban agung
310,Nuuk,GL,43.41,64.1835,-51.7216,broken clouds,Vandrehuset
311,Mount Isa,AU,55.17,-20.7333,139.5,scattered clouds,ibis Styles Mt Isa Verona
312,Grindavik,IS,51.75,63.8424,-22.4338,broken clouds,Northern Light Inn & Max's Restaurant
313,Sao Joao Da Barra,BR,71.69,-21.6403,-41.0511,clear sky,Pousada Porto De Canoas
314,Muramvya,BI,57.94,-3.2682,29.6079,few clouds,CHALET LA CONCORDE
315,Havre-Saint-Pierre,CA,64.76,50.2334,-63.5986,clear sky,Auberge Niapiskau
316,Alanya,TR,78.93,36.5438,31.9998,few clouds,Panorama Hotel
317,Tokmak,UA,72.43,47.2514,35.7058,broken clouds,Дом приезжих
318,Naryan-Mar,RU,45.88,67.6713,53.087,overcast clouds,Hostel Agat
319,Christchurch,NZ,52.0,-43.5333,172.6333,clear sky,The George
320,Linfen,CN,75.78,36.0889,111.5189,clear sky,Suoxing Hotel
321,Chardara,KZ,81.45,41.2547,67.9692,clear sky,Жанаргул
322,Ayr,GB,62.49,55.4627,-4.6339,clear sky,Mercure Ayr Hotel
323,Trelew,AR,47.26,-43.249,-65.3051,overcast clouds,Hotel Touring Club
324,Barcelona,ES,79.34,41.3888,2.159,clear sky,Axel Hotel Barcelona
326,Remanso,BR,76.55,-9.6179,-42.0831,few clouds,Hotel Mangueira
327,Tucupita,VE,77.25,9.0622,-62.051,overcast clouds,Hotel Tucupita Su​ite C.A.
328,Matadi,CD,72.19,-5.8167,13.45,clear sky,Hotel Vivi Palace
330,Foumban,CM,62.46,5.7291,10.9001,light rain,Hotel Pekassa De Karche
331,Byron Bay,AU,58.95,-28.65,153.6167,moderate rain,Backpackers Inn on the Beach
332,Royan,FR,66.24,45.6285,-1.0281,broken clouds,Hôtel Cordouan Thalassothérapie et Spa - Royan
333,Mount Gambier,AU,39.11,-37.8333,140.7667,scattered clouds,The Commodore
334,Scarborough,GB,62.26,54.2797,-0.4044,overcast clouds,Ambassador Roomzzz
335,Storforshei,NO,52.66,66.4043,14.5233,overcast clouds,Skogly overnatting (Stengt/closed)
336,Samarai,PG,79.57,-10.6167,150.6667,overcast clouds,Nuli Sapi
338,San Cristobal,VE,82.58,7.7669,-72.225,overcast clouds,Posada Villaven C.A.
339,Ariquemes,BR,85.15,-9.9133,-63.0408,few clouds,Hotel Sol Nascente - Ariquemes - RO
340,Ampanihy,MG,58.75,-24.7,44.75,scattered clouds,Angora Hotel
342,Kavaratti,IN,82.13,10.5669,72.642,broken clouds,Hotels in Lakshadweep Islands
343,Yeppoon,AU,49.78,-23.1333,150.7333,clear sky,Villa Mar Colina
344,Nome,US,50.07,64.5011,-165.4064,overcast clouds,Dredge 7 Inn
345,Grand Gaube,MU,70.2,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
346,Arona,ES,69.82,28.0996,-16.681,few clouds,Paradise Court
349,Correntina,BR,71.83,-13.3433,-44.6367,clear sky,Hotel Pousada dos Sonhos
350,Itoman,JP,80.98,26.1247,127.6694,mist,Southern Beach Hotel & Resort Okinawa
351,Hailey,US,89.91,43.5196,-114.3153,clear sky,Wood River Inn & Suites
352,Plettenberg Bay,ZA,52.68,-34.0527,23.3716,few clouds,Thanda Vista B&B
353,Plouzane,FR,60.89,48.3833,-4.6167,few clouds,Carrefour Voyages Plouzané
354,Turukhansk,RU,64.87,65.8167,87.9833,clear sky,"ООО ""Туруханская пушнина"""
355,San Quintin,MX,73.22,30.4833,-115.95,overcast clouds,Don Eddie's Sport Fishing Center
358,Golden,US,89.19,39.7555,-105.2211,scattered clouds,"The Golden Hotel, Ascend Hotel Collection"
359,Kahului,US,87.82,20.8947,-156.47,light rain,Maui Seaside Hotel
360,Massaguet,TD,78.84,12.4755,15.4365,overcast clouds,Alwatane
361,Atasu,KZ,78.3,48.6814,71.6433,clear sky,Dostyk
362,Leningradskiy,RU,37.24,69.3833,178.4167,light rain,Gostinitsa
363,Ciudad Del Maiz,MX,87.73,22.4,-99.6,few clouds,Hotel Casona del General
364,Chernyshevskiy,RU,60.64,63.0128,112.4714,broken clouds,Chernyseyskiy
365,Richards Bay,ZA,53.6,-28.783,32.0377,light rain,BON Hotel Waterfront Richards Bay
366,Marsa Matruh,EG,79.0,31.3525,27.2453,few clouds,Beau Site
367,San Isidro,PE,63.99,-12.1167,-77.05,overcast clouds,Soul Mate-Inn
370,Arica,CL,62.83,-18.475,-70.3042,clear sky,Hostal Jardin Del Sol
371,Cameta,BR,82.42,-2.2444,-49.4958,overcast clouds,Hotel San Juan
372,Shahr-E Kord,IR,73.17,32.3256,50.8644,few clouds,Shahrekord Tourist Hotel
374,Shache,CN,80.58,38.4167,77.2406,clear sky,Delong Hotel
375,Manali,IN,86.09,13.1667,80.2667,overcast clouds,Sarathy Lodge
