City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
590,Baylo,PH,74.88,7.8539,126.0581,overcast clouds,Sophia Inn
591,Pisco,PE,64.02,-13.7,-76.2167,overcast clouds,Hotel San Isidro Oficial
593,Ulaangom,MN,75.27,49.9811,92.0667,overcast clouds,Achit Nuur Hotel & Restaurant
594,Marsh Harbour,BS,83.8,26.5412,-77.0636,broken clouds,Abaco Beach Resort
596,Kropotkin,RU,79.29,45.4375,40.5756,scattered clouds,Hotel Europe Kropotkin
597,Kimberley,ZA,33.49,-28.7323,24.7623,clear sky,Welgewandel Guesthouse
598,Kitgum,UG,73.89,3.2783,32.8867,overcast clouds,Jaflo Gardens Hotel
599,Santo Augusto,BR,76.46,-27.8508,-53.7772,clear sky,Hotel Marco Polo
600,Puerto Escondido,MX,88.63,15.85,-97.0667,scattered clouds,Aldea del Bazar Hotel and Spa
602,Nanortalik,GL,45.66,60.1432,-45.2371,broken clouds,Hotel Kap Farvel
604,Shushenskoye,RU,62.28,53.325,91.9356,overcast clouds,Turist
605,Aksu,CN,69.03,41.1231,80.2644,scattered clouds,Pudong Holiday Hotel
606,Sistranda,NO,53.91,63.7256,8.834,broken clouds,Hotell Frøya
607,Sechura,PE,75.6,-5.5569,-80.8222,few clouds,Hospedaje Costa Bella
608,Qaqortoq,GL,57.7,60.7167,-46.0333,scattered clouds,Hotel Qaqortoq
609,Dhidhdhoo,MV,83.3,6.8833,73.1,overcast clouds,Dhidhoo beach
610,Pangnirtung,CA,46.4,66.1451,-65.7125,overcast clouds,Kilabuk Lodge
611,Bilibino,RU,54.39,68.0546,166.4372,overcast clouds,Gostinitsa Severyanka
612,Pilar,BR,80.53,-9.5972,-35.9567,few clouds,Pousada e churrascaria Manguaba
613,Alindao,CF,72.61,5.0267,21.2088,light rain,OCHA Alindao
615,Isangel,VU,73.65,-19.55,169.2667,overcast clouds,Tanna Lodge
616,Pasighat,IN,79.54,28.0667,95.3333,scattered clouds,Siang Guest House
617,Imeni Poliny Osipenko,RU,73.02,52.4201,136.4853,broken clouds,Yubileynaya
618,Nanakuli,US,78.75,21.3906,-158.1547,clear sky,Camp Pālehua
619,Codrington,AU,42.22,-38.2667,141.9667,overcast clouds,Codrington Gardens Bed And Breakfast
620,Korem,ET,56.3,12.5058,39.5228,overcast clouds,Lakomeliza Hotel
621,Gravdal,NO,49.68,68.1214,13.5031,broken clouds,Skreda Rorbusuiter
622,Sioux Lookout,CA,71.67,50.1001,-91.917,overcast clouds,Knobby's Fly-In Camps
623,Kampong Thum,KH,77.88,12.7111,104.8887,overcast clouds,Sambor Village Hotel
624,Nizhnyaya Omka,RU,67.24,55.4338,74.9426,few clouds,"Gostinitsa Om', Zhkkh"
625,Puteyets,RU,53.08,65.1716,57.091,broken clouds,"Sot ""Agrarnik"""
626,Tibacuy,CO,72.45,4.3511,-72.4564,overcast clouds,hospedaje las palmas
627,Daru,PG,76.41,-9.0763,143.2092,overcast clouds,Daru Lodge
628,Esmeralda,CU,88.84,21.8525,-78.1169,few clouds,Centro de Pioneros Exploradores
629,Cotonou,BJ,79.41,6.3654,2.4183,overcast clouds,Novotel Cotonou Orisha
630,Guatire,VE,86.68,10.4762,-66.5427,scattered clouds,Parque Residencial Canaima I
631,Yatou,CN,74.3,37.15,122.3833,overcast clouds,GreenTree Hotel Rongcheng Bus Station
632,Belmonte,BR,80.6,-15.8631,-38.8828,overcast clouds,Pousada Monte Carmelo O Pão
633,Hengyang,CN,81.39,26.8881,112.615,scattered clouds,Honglin Guesthouse
634,Papara,BR,86.72,-3.9839,-38.7273,broken clouds,Romin
635,Yar-Sale,RU,50.49,66.8333,70.8333,clear sky,Yalemd
636,Mattru,SL,77.18,7.6244,-11.8332,moderate rain,"Mondkor Town, Bagbo Chiefdom, Bo District"
637,Letnik,RU,82.9,46.011,41.2657,light rain,Na Cherkasskom Trakte Basa Otdykha
638,Truckee,US,82.15,39.328,-120.1833,clear sky,Truckee Donner Lodge
639,Urumqi,CN,77.95,43.801,87.6005,clear sky,Hua Ling Grand Hotel Urumqi
640,Sisimiut,GL,43.74,66.9395,-53.6735,overcast clouds,Hotel Sisimiut
